"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","coord.lon","coord.lat","extraction_date_time","city_name"
"2024-01-01 00:00:00+08:00",2.0,330.45,0.0,1.59,63.66,0.54,17.21,19.22,2.15,119.9811,16.1561,"2024-01-01 00:00:01.054170+08:00","Alaminos"
"2024-01-01 00:00:04+08:00",2.0,520.71,0.01,9.51,18.24,1.59,13.44,15.97,4.31,120.5833,15.15,"2024-01-01 00:00:04.735962+08:00","Angeles City"
"2024-01-01 00:00:07+08:00",1.0,293.73,0.0,2.87,27.54,0.46,2.77,3.49,1.84,121.19,15.6181,"2024-01-01 00:00:08.135179+08:00","Antipolo"
"2024-01-01 00:00:10+08:00",1.0,216.96,0.0,0.99,44.35,3.79,2.66,2.84,0.24,123.5085,12.2285,"2024-01-01 00:00:10.364915+08:00","Bacolod"
"2024-01-01 00:00:13+08:00",3.0,1375.2,2.07,52.78,2.08,20.74,38.83,57.93,10.26,120.929,14.459000000000001,"2024-01-01 00:00:13.464610+08:00","Bacoor"
"2024-01-01 00:00:16+08:00",1.0,243.66,0.0,1.71,44.7,1.09,2.29,3.28,0.82,122.8333,10.5333,"2024-01-01 00:00:16.484328+08:00","Bago City"
"2024-01-01 00:00:19+08:00",2.0,580.79,0.0,11.31,29.33,4.59,19.49,22.7,6.46,120.5931,16.4164,"2024-01-01 00:00:19.521991+08:00","Baguio"
"2024-01-01 00:00:20+08:00",1.0,233.65,0.0,2.19,37.55,0.72,2.21,2.59,0.9,123.1228,9.5911,"2024-01-01 00:00:21.323265+08:00","Bais"
"2024-01-01 00:00:23+08:00",1.0,357.15,0.0,6.17,34.33,2.24,4.23,7.39,1.95,120.5361,14.6761,"2024-01-01 00:00:23.605655+08:00","Balanga"
"2024-01-01 00:00:25+08:00",1.0,216.96,0.0,0.66,58.65,0.2,1.19,1.57,0.42,120.5649,18.0554,"2024-01-01 00:00:25.964325+08:00","Batac City"
"2024-01-01 00:00:27+08:00",1.0,327.11,0.01,12.34,22.71,5.54,5.03,8.24,3.71,121.05,13.75,"2024-01-01 00:00:27.439756+08:00","Batangas City"
"2024-01-01 00:00:29+08:00",1.0,240.33,0.0,2.19,30.76,0.45,2.18,2.72,1.43,122.8011,9.3636,"2024-01-01 00:00:29.761087+08:00","Bayawan"
"2024-01-01 00:00:31+08:00",1.0,223.64,0.0,0.7,56.51,8.82,2.65,2.83,0.1,123.7135,13.4083,"2024-01-01 00:00:32.782164+08:00","Baybay"
"2024-01-01 00:00:34+08:00",1.0,230.31,0.03,3.38,4.92,0.75,2.84,4.04,0.71,125.7675,8.7561,"2024-01-01 00:00:36.320361+08:00","Bayugan"
"2024-01-01 00:00:37+08:00",1.0,343.8,0.0,7.88,25.75,1.06,3.38,4.57,2.06,125.0336,11.0725,"2024-01-01 00:00:38.063026+08:00","Bislig"
"2024-01-01 00:00:40+08:00",1.0,280.38,0.0,9.77,40.77,13.23,3.09,6.01,2.5,121.0807,14.3427,"2024-01-01 00:00:40.993676+08:00","Biñan"
"2024-01-01 00:00:42+08:00",1.0,233.65,0.0,1.63,37.19,0.39,1.23,1.78,0.63,124.0055,11.0517,"2024-01-01 00:00:42.663913+08:00","Bogo"
"2024-01-01 00:00:44+08:00",1.0,198.6,0.0,1.11,33.98,0.22,1.06,1.65,0.24,125.4319,11.6081,"2024-01-01 00:00:45.139107+08:00","Borongan"
"2024-01-01 00:00:46+08:00",1.0,293.73,0.0,3.56,8.76,0.54,3.41,4.46,1.17,125.5436,8.9492,"2024-01-01 00:00:47.054771+08:00","Butuan"
"2024-01-01 00:00:49+08:00",1.0,330.45,0.0,6.08,9.92,0.94,3.86,4.94,2.28,125.5344,9.1236,"2024-01-01 00:00:49.937867+08:00","Cabadbaran"
"2024-01-01 00:00:52+08:00",2.0,660.9,0.04,15.94,12.7,1.76,14.95,18.39,4.05,120.9667,15.4833,"2024-01-01 00:00:52.336144+08:00","Cabanatuan City"
