"datetime","main.aqi","components.co","components.no","components.no2","components.o3","components.so2","components.pm2_5","components.pm10","components.nh3","city_name"
"2025-03-01 00:00:00+08:00",2.0,337.12,0.0,2.1,97.28,1.27,16.06,20.25,2.38,"Alaminos"
"2025-03-01 00:00:03+08:00",2.0,514.03,0.0,11.31,40.41,2.65,11.2,17.39,4.37,"Angeles City"
"2025-03-01 00:00:05+08:00",2.0,290.39,0.0,2.51,63.66,0.47,3.51,5.58,1.69,"Antipolo"
"2025-03-01 00:00:07+08:00",2.0,236.99,0.0,0.81,82.25,1.8,1.83,4.31,0.34,"Bacolod"
"2025-03-01 00:00:09+08:00",2.0,547.41,0.0,17.31,72.96,15.14,9.21,19.86,6.97,"Bacoor"
"2025-03-01 00:00:11+08:00",2.0,263.69,0.0,1.05,74.39,1.94,2.33,3.14,0.46,"Bago City"
"2025-03-01 00:00:13+08:00",3.0,680.92,0.0,12.85,28.97,3.01,28.43,34.26,4.5,"Baguio"
"2025-03-01 00:00:14+08:00",2.0,293.73,0.0,2.25,63.66,1.55,3.36,4.02,0.73,"Bais"
"2025-03-01 00:00:17+08:00",2.0,340.46,0.0,5.31,74.39,3.16,5.14,13.04,2.63,"Balanga"
"2025-03-01 00:00:18+08:00",2.0,350.48,0.0,3.0,72.24,0.74,9.9,13.09,2.12,"Batac City"
"2025-03-01 00:00:20+08:00",2.0,307.08,0.0,9.34,67.95,5.25,4.47,7.67,2.47,"Batangas City"
"2025-03-01 00:00:22+08:00",2.0,297.07,0.0,2.25,65.09,1.36,3.39,3.93,0.91,"Bayawan"
"2025-03-01 00:00:24+08:00",2.0,233.65,0.0,0.38,90.84,5.13,1.93,3.09,0.18,"Baybay"
"2025-03-01 00:00:27+08:00",1.0,293.73,0.07,3.13,3.67,0.61,4.72,5.53,1.55,"Bayugan"
"2025-03-01 00:00:29+08:00",1.0,260.35,0.0,1.71,57.22,0.41,1.51,1.76,0.67,"Bislig"
"2025-03-01 00:00:31+08:00",2.0,323.77,0.0,10.37,83.69,13.11,3.89,7.73,2.72,"Biñan"
"2025-03-01 00:00:33+08:00",2.0,253.68,0.0,1.1,67.95,0.3,1.5,1.93,0.33,"Bogo"
"2025-03-01 00:00:34+08:00",2.0,223.64,0.0,0.44,65.09,0.19,1.99,2.42,0.05,"Borongan"
"2025-03-01 00:00:36+08:00",1.0,297.07,0.0,1.59,30.04,0.36,2.54,2.95,0.92,"Butuan"
"2025-03-01 00:00:38+08:00",1.0,310.42,0.0,2.16,31.11,0.52,2.78,3.12,0.85,"Cabadbaran"
"2025-03-01 00:00:40+08:00",2.0,307.08,0.0,3.21,72.24,0.78,3.04,5.22,2.53,"Cabanatuan City"
"2025-03-01 00:00:43+08:00",2.0,323.77,0.0,10.37,83.69,13.11,3.89,7.73,2.72,"Cabuyao"
"2025-03-01 00:00:44+08:00",2.0,250.34,0.0,0.55,77.25,0.91,1.88,3.24,0.2,"Cadiz"
"2025-03-01 00:00:46+08:00",1.0,343.8,0.0,5.66,42.56,1.73,3.46,4.2,1.46,"Cagayan de Oro"
"2025-03-01 00:00:47+08:00",2.0,260.35,0.0,5.48,82.25,5.19,2.97,5.63,1.11,"Calaca"
"2025-03-01 00:00:49+08:00",2.0,323.77,0.0,10.37,83.69,13.11,3.89,7.73,2.72,"Calamba"
"2025-03-01 00:00:51+08:00",2.0,253.68,0.0,8.31,82.25,7.21,3.49,5.27,0.48,"Calapan"
"2025-03-01 00:00:53+08:00",1.0,236.99,0.0,0.65,57.22,3.7,1.91,2.82,0.24,"Calbayog City"
"2025-03-01 00:00:54+08:00",2.0,881.2,0.0,32.22,49.35,13.47,20.11,37.12,16.72,"Caloocan City"
"2025-03-01 00:00:56+08:00",2.0,353.81,0.0,1.59,75.1,0.83,16.26,19.73,2.57,"Candon"
"2025-03-01 00:00:58+08:00",1.0,440.6,0.0,8.48,36.84,1.74,8.93,10.95,5.07,"Canlaon"
"2025-03-01 00:01:01+08:00",1.0,350.48,0.0,6.77,49.35,4.53,6.08,8.39,2.47,"Carcar"
"2025-03-01 00:01:02+08:00",2.0,323.77,0.0,10.37,83.69,13.11,3.89,7.73,2.72,"Carmona"
"2025-03-01 00:01:04+08:00",1.0,243.66,0.0,0.81,50.78,0.61,1.57,1.94,0.53,"Catbalogan"
"2025-03-01 00:01:06+08:00",1.0,373.84,0.0,5.44,43.27,0.72,7.68,12.02,6.78,"Cauayan"
"2025-03-01 00:01:07+08:00",2.0,547.41,0.0,17.31,72.96,15.14,9.21,19.86,6.97,"Cavite City"
"2025-03-01 00:01:10+08:00",1.0,337.12,0.0,6.26,45.78,3.99,5.42,6.62,2.09,"Cebu City"
"2025-03-01 00:01:12+08:00",2.0,947.95,0.0,31.53,45.78,12.88,20.59,33.22,11.15,"City of Marikina"
"2025-03-01 00:01:14+08:00",2.0,236.99,0.0,0.81,82.25,1.8,1.83,4.31,0.34,"City of Masbate"
"2025-03-01 00:01:16+08:00",2.0,300.41,0.0,2.72,72.96,1.61,3.37,4.54,1.71,"City of Passi"
"2025-03-01 00:01:18+08:00",2.0,233.65,0.0,0.59,83.69,2.47,1.64,5.48,0.5,"City of Sorsogon"
"2025-03-01 00:01:20+08:00",2.0,487.33,0.03,5.91,5.72,0.78,10.94,12.12,3.23,"Cotabato"
"2025-03-01 00:01:21+08:00",2.0,420.57,0.02,5.36,13.23,0.54,11.49,14.12,2.34,"Dagupan"
"2025-03-01 00:01:23+08:00",1.0,277.04,0.0,6.08,52.93,4.53,3.54,4.28,0.55,"Danao"
"2025-03-01 00:01:24+08:00",1.0,337.12,0.0,6.26,45.78,3.99,5.42,6.62,2.09,"Dapitan"
"2025-03-01 00:01:27+08:00",2.0,357.15,0.0,10.8,82.25,12.64,4.89,8.9,2.82,"Dasmariñas"
"2025-03-01 00:01:29+08:00",1.0,297.07,0.0,3.56,35.76,0.79,1.78,2.37,0.91,"Davao"
"2025-03-01 00:01:32+08:00",1.0,323.77,0.0,3.0,42.2,0.67,2.3,2.66,1.44,"Digos"
"2025-03-01 00:01:33+08:00",2.0,253.68,0.0,0.61,75.82,0.23,0.63,0.7,0.09,"Dipolog"
"2025-03-01 00:01:35+08:00",1.0,263.69,0.0,1.91,55.79,0.83,1.95,2.36,0.63,"Dumaguete"
"2025-03-01 00:01:37+08:00",2.0,273.71,0.0,1.41,61.51,0.36,1.74,1.93,0.46,"El Salvador"
"2025-03-01 00:01:39+08:00",2.0,250.34,0.0,0.63,76.53,0.49,1.73,3.01,0.23,"Escalante"
"2025-03-01 00:01:41+08:00",1.0,447.27,0.0,8.23,51.5,1.59,7.23,12.2,5.0,"Gapan"
"2025-03-01 00:01:43+08:00",2.0,514.03,0.01,5.4,12.88,0.66,10.29,12.19,2.91,"General Santos"
"2025-03-01 00:01:45+08:00",2.0,357.15,0.0,10.8,82.25,12.64,4.89,8.9,2.82,"General Trias"
"2025-03-01 00:01:47+08:00",1.0,277.04,0.0,1.11,55.79,0.13,1.11,1.26,0.39,"Gingoog City"
"2025-03-01 00:01:49+08:00",2.0,337.12,0.0,3.64,62.23,1.86,4.35,5.77,2.53,"Himamaylan"
"2025-03-01 00:01:50+08:00",2.0,467.3,0.0,7.45,40.05,0.89,10.89,15.49,6.84,"Ilagan"
"2025-03-01 00:01:52+08:00",2.0,277.04,0.0,2.12,63.66,1.15,1.96,2.24,0.82,"Iligan City"
"2025-03-01 00:01:55+08:00",2.0,300.41,0.0,2.19,81.54,1.71,3.43,4.51,1.38,"Iloilo City"
"2025-03-01 00:01:56+08:00",2.0,547.41,0.0,17.31,72.96,15.14,9.21,19.86,6.97,"Imus"
"2025-03-01 00:01:58+08:00",2.0,250.34,0.0,1.48,67.95,6.56,3.56,4.94,0.92,"Iriga City"
"2025-03-01 00:02:00+08:00",2.0,297.07,0.0,2.38,67.95,2.21,3.27,4.32,1.43,"Isabela"
"2025-03-01 00:02:03+08:00",1.0,340.46,0.0,3.51,56.51,0.98,3.86,4.99,3.2,"Kabankalan"
"2025-03-01 00:02:05+08:00",2.0,667.57,0.08,18.68,6.97,3.55,16.89,21.45,24.57,"Kidapawan"
"2025-03-01 00:02:06+08:00",2.0,774.38,0.0,17.65,27.54,3.87,17.16,21.66,26.85,"Koronadal"
"2025-03-01 00:02:08+08:00",2.0,263.69,0.0,1.05,74.39,1.94,2.33,3.14,0.46,"La Carlota"
"2025-03-01 00:02:11+08:00",1.0,317.1,0.0,2.55,35.76,0.52,3.54,3.78,0.86,"Lamitan"
"2025-03-01 00:02:13+08:00",2.0,350.48,0.0,3.0,72.24,0.74,9.9,13.09,2.12,"Laoag"
"2025-03-01 00:02:16+08:00",1.0,337.12,0.0,6.26,45.78,3.99,5.42,6.62,2.09,"Lapu-Lapu City"
"2025-03-01 00:02:18+08:00",2.0,547.41,0.0,17.31,72.96,15.14,9.21,19.86,6.97,"Las Piñas"
