city_name,coord.lon,coord.lat
Alaminos,119.9811,16.1561
Angeles City,120.5833,15.15
Antipolo,121.1763151,14.58643466
Bacolod,122.9633613,10.65967593
Bacoor,120.9691195,14.4317605
Bago City,122.8333,10.5333
Baguio,120.5931,16.4164
Bais,123.1228,9.5911
Balanga,120.5361,14.6761
Batac City,120.5649,18.0554
Batangas City,121.05,13.75
Bayawan,122.8011,9.3636
Baybay,124.8061585,10.6765698
Bayugan,125.7548296,8.713576148
Bislig,126.3171737,8.213526069
Biñan,121.0807,14.3427
Bogo,124.0055,11.0517
Borongan,125.4319,11.6081
Butuan,125.5436,8.9492
Cabadbaran,125.5344,9.1236
Cabanatuan City,120.9667,15.4833
Cabuyao,121.1262,14.2726
Cadiz,123.3061299,10.95655885
Cagayan de Oro,124.6472,8.4822
Calaca,120.8133,13.9324
Calamba,121.1653,14.2117
Calapan,121.1803,13.4117
Calbayog City,124.6,12.0667
Caloocan City,120.9667,14.65
Candon,120.4517,17.1947
Canlaon,123.2194099,10.38619009
Carcar,123.6402,10.1061
Carmona,121.0576,14.3132
Catbalogan,124.8861,11.7753
Cauayan,121.7725,16.9347
Cavite City,120.9169,14.4825
Cebu City,123.8907,10.3167
City of Marikina,121.1,14.6333
City of Masbate,123.6220192,12.37170392
City of Passi,122.6445005,11.10579043
City of Sorsogon,124.0027653,12.96998246
Cotabato,124.2464,7.2236
Dagupan,120.3332461,16.04331649
Danao,124.0272,10.5208
Dapitan,123.9469,10.2706
Dasmariñas,120.9367,14.3294
Davao,125.6128,7.0731
Digos,125.3572,6.7497
Dipolog,123.3414,8.5894
Dumaguete,123.3081,9.3103
El Salvador,124.5225,8.5631
Escalante,123.4992,10.8403
Gapan,120.9464,15.3072
General Santos,125.1717,6.1128
General Trias,120.8817,14.3869
Gingoog City,125.1014502,8.823813267
Himamaylan,122.8706,10.0989
Ilagan,121.8892,17.1485
Iligan City,124.2410433,8.232354126
Iloilo City,122.5622305,10.72010645
Imus,120.9367,14.4297
Iriga City,123.4167,13.4167
Isabela,121.9720317,6.7042695
Kabankalan,122.8122,9.9889
Kidapawan,125.0894,7.0083
Koronadal,124.8469,6.5031
La Carlota,122.9208,10.4233
Lamitan,122.1396745,6.659662943
Laoag,120.5936,18.1989
Lapu-Lapu City,123.9494,10.3103
Las Piñas,120.9828,14.4506
Legazpi City,123.7349147,13.14003577
Ligao,123.5373324,13.24112367
Lipa City,121.1667,13.95
Lucena,121.6156592,13.93750897
Maasin,124.8372817,10.13350184
Mabalacat City,120.5736,15.2216
Makati City,121.0327,14.5503
Malabon,120.9510658,14.65796142
Malaybalay,125.1284631,8.154043102
Malolos,120.8117,14.8419
Mandaluyong City,121.0409,14.5832
Mandaue City,123.9333,10.3333
Manila,120.9822,14.6042
Marawi,124.2839856,8.001419922
Mati,126.2172411,6.952947538
Meycauayan,120.9608,14.7369
Muñoz,120.9031,15.7161
Naga,123.1814,13.6192
Navotas,120.95,14.6667
Olongapo,120.2828,14.8292
Ormoc,124.6075,11.0064
Oroquieta,123.8044,8.4858
Ozamiz City,123.8474474,8.144893413
Pagadian,123.437,7.8257
Palayan City,121.085677,15.54391998
Panabo,125.6842,7.3081
Paranaque City,121.0175,14.4816
Pasig,121.065,14.587
Puerto Princesa City,118.7470756,9.763947196
Quezon City,121.0333,14.6333
Roxas,122.7528862,11.5790687
Sagay,123.4242,10.9447
Samal,125.708733,7.07425333
San Carlos,120.3482275,15.92538693
San Fernando,120.3166,16.6159
San Jose,120.9911434,15.79436947
San Jose del Monte,121.0453,14.8139
San Juan,121.0300123,14.60506257
San Pablo,121.325193,14.0746875
San Pedro,121.0613795,14.36304998
Santa Rosa,121.1130114,14.31490906
Santiago,121.5603854,16.69718961
Santo Tomas,121.1468313,14.10803156
Silay City,122.9796357,10.79125164
Sipalay,122.4042,9.7519
Surigao City,125.4931764,9.78698868
Tabaco,123.7336,13.3586
Tabuk,121.4443,17.4189
Tacloban City,125.0086723,11.24383536
Tacurong,124.6764,6.6925
Tagaytay City,120.9337,14.1059
Taguig,121.0792,14.5243
Talisay,122.9676893,10.73929605
Tanauan,121.1498,14.0863
Tandag,126.1986,9.0783
Tangub,123.7519437,8.060778974
Tanjay,123.1583,9.5153
Tarlac City,120.5986,15.4889
Tayabas,121.5911,14.0289
Toledo City,123.6493736,10.38753458
Tuguegarao,121.7269,17.6131
Urdaneta,120.5711,15.9761
Valencia,125.0901669,7.903002856
Valenzuela,120.9667,14.7
Victorias,123.0778,10.9
Vigan,120.3869,17.5747
Zamboanga City,122.0696,6.9135
